               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.034933,            0.016058,           0.0068008,              0.7648,             0.73198,             0.73628,             0.46338,            0.027532,            0.010882,            0.022004,           0.0078344,           0.0078344,           0.0078344
                  37,            0.034389,            0.015778,           0.0067402,              0.7682,             0.70126,             0.72943,             0.46509,            0.026544,            0.010978,            0.022201,           0.0077725,           0.0077725,           0.0077725
                  38,            0.034335,            0.015929,           0.0064519,             0.76254,              0.7553,             0.74742,             0.47821,            0.026946,            0.010807,             0.02278,           0.0077106,           0.0077106,           0.0077106
                  39,            0.034152,            0.015825,           0.0065527,             0.77601,             0.72467,             0.73821,             0.46252,            0.027067,            0.010855,            0.021234,           0.0076488,           0.0076488,           0.0076488
                  40,            0.033444,            0.015726,           0.0063837,             0.75267,             0.74712,             0.72908,             0.46479,            0.026625,            0.010642,            0.021428,           0.0075869,           0.0075869,           0.0075869
                  41,            0.033804,             0.01552,           0.0061653,             0.76707,             0.74836,             0.74451,             0.48406,            0.026372,            0.010637,             0.02204,            0.007525,            0.007525,            0.007525
                  42,            0.033608,            0.015532,           0.0059879,             0.77722,              0.7461,              0.7457,             0.48648,            0.026497,            0.010679,             0.02159,           0.0074631,           0.0074631,           0.0074631
                  43,            0.033136,            0.015604,           0.0057746,              0.7717,             0.73983,             0.75502,             0.49588,            0.026073,            0.010416,            0.021918,           0.0074013,           0.0074013,           0.0074013
                  44,            0.033064,            0.015558,           0.0061454,             0.77056,             0.74576,             0.74585,             0.49446,            0.025647,            0.010374,             0.02126,           0.0073394,           0.0073394,           0.0073394
                  45,            0.032984,            0.015257,           0.0059805,              0.7799,             0.73704,             0.73469,             0.48534,            0.025654,            0.010283,            0.021919,           0.0072775,           0.0072775,           0.0072775
                  46,            0.032532,            0.015503,            0.005941,              0.7745,             0.76598,              0.7587,             0.50553,            0.025318,            0.010164,            0.022957,           0.0072156,           0.0072156,           0.0072156
                  47,            0.032642,            0.015051,           0.0056462,             0.77576,             0.74767,              0.7505,             0.49467,            0.025108,             0.01008,            0.022273,           0.0071538,           0.0071538,           0.0071538
                  48,            0.032317,            0.015129,           0.0059215,              0.7773,             0.75007,             0.75241,             0.49364,            0.025477,            0.010201,            0.021449,           0.0070919,           0.0070919,           0.0070919
                  49,            0.032217,            0.014937,           0.0057674,             0.78553,             0.74786,             0.75665,             0.50105,            0.025119,            0.010185,            0.023198,             0.00703,             0.00703,             0.00703
                  50,            0.031441,             0.01493,           0.0053257,             0.77392,             0.77493,             0.75914,             0.50019,            0.024999,            0.010065,            0.023448,           0.0069681,           0.0069681,           0.0069681
                  51,            0.031526,            0.014708,           0.0055107,             0.77314,             0.76543,             0.75084,             0.50031,            0.024855,                0.01,            0.022766,           0.0069063,           0.0069063,           0.0069063
                  52,            0.031058,            0.014847,           0.0050663,              0.7927,             0.74972,             0.75689,             0.51017,            0.024783,           0.0099296,            0.024224,           0.0068444,           0.0068444,           0.0068444
                  53,            0.031351,            0.014839,           0.0052914,             0.76751,             0.77401,             0.76347,             0.51586,            0.024588,           0.0097944,            0.022971,           0.0067825,           0.0067825,           0.0067825
                  54,            0.031261,            0.014803,           0.0052244,             0.77496,              0.7764,             0.76048,             0.51608,            0.024318,           0.0098801,            0.022459,           0.0067206,           0.0067206,           0.0067206
                  55,            0.030971,            0.014524,           0.0051344,             0.77952,             0.76044,             0.75936,             0.52892,            0.023958,           0.0098496,            0.024501,           0.0066587,           0.0066587,           0.0066587
                  56,            0.030959,            0.014648,           0.0052283,             0.78068,             0.77707,              0.7663,             0.52563,            0.024336,           0.0097422,             0.02237,           0.0065969,           0.0065969,           0.0065969
